word,cosine_similarity_R_vs_D,semantic_shift,left_count,right_count
bible,0.8319479,0.16805208,2251,19157
courts,0.8323082,0.16769183,3362,32385
black,0.83231056,0.16768944,16698,238833
nuclear,0.8324823,0.16751772,3429,39791
proof,0.8327197,0.16728032,4632,57659
moderate,0.8328401,0.16715991,5541,33252
stimulus,0.83296907,0.16703093,1656,15023
rally,0.833096,0.16690397,2441,17983
mexico,0.8335182,0.1664818,2195,25374
assault,0.8335589,0.16644108,4169,32547
church,0.8336334,0.16636658,3166,42524
scotus,0.83377534,0.16622466,3443,21165
twitter,0.83403194,0.16596806,5703,82862
house,0.8344204,0.16557962,25506,149238
russian,0.83447105,0.16552895,7807,50163
drugs,0.8348817,0.16511828,2833,37464
history,0.8349637,0.16503632,15435,140468
views,0.83526754,0.16473246,6513,59565
power,0.83541894,0.16458106,24510,203274
healthcare,0.83544695,0.16455305,11494,75941
sides,0.83555734,0.16444266,5722,70221
policies,0.8355727,0.16442728,11498,89623
economics,0.83557785,0.16442215,2648,19148
crimes,0.8356283,0.16437173,5917,46606
teachers,0.8357723,0.16422772,2072,38121
bias,0.83586645,0.16413355,2803,37957
murder,0.83616114,0.16383886,3589,67549
slaves,0.83643305,0.16356695,1295,20189
race,0.83666646,0.16333354,10032,109539
liberty,0.83672565,0.16327435,1964,25291
american,0.83694685,0.16305315,22723,204843
shot,0.8369911,0.16300893,5388,73520
schools,0.83707863,0.16292137,4503,66478
government,0.8372004,0.1627996,41077,487473
trial,0.8372022,0.16279781,2783,30512
aisle,0.83776635,0.16223365,890,8356
city,0.8378823,0.16211772,4807,84475
terrorist,0.8382697,0.16173029,2857,31042
funding,0.8384291,0.1615709,4657,41816
facts,0.8384903,0.1615097,10180,85307
moral,0.83853865,0.16146135,3741,39578
recession,0.8388148,0.1611852,1770,10632
attorney,0.83885366,0.16114634,1896,11945
banned,0.838912,0.16108799,4603,51928
judge,0.8389626,0.16103739,4898,48157
false,0.8391821,0.16081792,6267,64391
cities,0.8391977,0.1608023,3303,60281
educated,0.83925396,0.16074604,2672,19540
speech,0.8394848,0.16051519,8225,106103
defense,0.8395148,0.16048521,5395,51856
armed,0.8400519,0.15994811,2912,27855
force,0.8401086,0.15989143,8140,90938
border,0.8406037,0.15939629,3981,59649
executive,0.8407381,0.15926188,3823,34272
federal,0.84079456,0.15920544,14952,136155
california,0.8410928,0.15890718,5439,73814
business,0.84124327,0.15875673,11789,136782
immigration,0.8412638,0.15873623,4377,58290
care,0.84130704,0.15869296,29302,246957
protect,0.8413294,0.1586706,6043,61611
numbers,0.84174657,0.15825343,7697,76021
shootings,0.84182954,0.15817046,2323,17127
cops,0.841917,0.15808302,3143,61531
percent,0.8419881,0.15801191,4867,31635
foreign,0.8421359,0.1578641,6489,60726
fbi,0.84257543,0.15742457,4290,51588
world,0.84288096,0.15711904,23060,254935
senator,0.84291625,0.15708375,5388,19935
inflation,0.843003,0.15699703,2986,33865
winner,0.8432467,0.1567533,1380,9629
million,0.8434148,0.15658522,11329,97460
population,0.8436444,0.15635562,7615,89218
leader,0.84378517,0.15621483,5828,37639
presidency,0.84385127,0.15614873,6453,35055
discussion,0.8441256,0.15587437,5603,66286
state,0.8444263,0.15557373,43548,359137
businesses,0.8451438,0.1548562,4457,61622
party,0.8452338,0.1547662,65634,297879
votes,0.84526205,0.15473795,18232,125314
confederate,0.846019,0.15398097,1097,8827
kids,0.8460995,0.1539005,9945,167981
surprised,0.8461077,0.15389228,5100,51553
campaign,0.846658,0.15334201,18419,81432
poor,0.8467425,0.15325749,13425,97333
slavery,0.84703493,0.15296507,2755,35906
justices,0.84798527,0.15201473,1861,11694
propaganda,0.8481797,0.1518203,5659,50118
safety,0.848462,0.15153801,3891,34910
god,0.84849167,0.15150833,9770,108178
winning,0.84876144,0.15123856,6900,38087
political,0.84886146,0.15113854,29904,258530
opinions,0.8494649,0.1505351,4686,48787
freedom,0.8495928,0.1504072,7367,86707
union,0.8496499,0.1503501,3687,37342
rifle,0.849676,0.15032399,1861,11360
violence,0.8497313,0.15026867,8865,94638
nominee,0.84991443,0.15008557,4146,17079
presidents,0.85000306,0.14999694,4726,27995
evidence,0.85039115,0.14960885,13021,169978
welfare,0.8511643,0.14883572,4223,41211
justice,0.85123485,0.14876515,8259,66593
law,0.8512377,0.14876229,23862,226184
pregnancy,0.8515821,0.14841789,1023,15161
press,0.85169125,0.14830875,3910,43063
medicare,0.8528131,0.14718688,4127,12865
gay,0.85291797,0.14708203,7315,70327
conspiracy,0.8531437,0.14685631,5336,43888
poll,0.85321987,0.14678013,4467,31334
legal,0.85351634,0.14648366,10159,105914
society,0.85370845,0.14629155,9381,107089
voters,0.8537178,0.1462822,24883,93850
filibuster,0.854015,0.145985,3544,7520
nixon,0.85429734,0.14570266,2251,7224
ban,0.85430264,0.14569736,6525,60794
turnout,0.854998,0.14500201,3245,10816
candidate,0.8551365,0.14486349,20228,79868
bill,0.8552367,0.14476329,16273,117907
religious,0.8552879,0.14471209,6726,59203
rights,0.8553493,0.1446507,21933,164773
birth,0.85538876,0.14461124,2991,36717
senators,0.85575175,0.14424825,4706,16975
elected,0.8559352,0.14406478,10869,63518
wars,0.85627735,0.14372265,2860,23625
win,0.856591,0.14340901,26197,138510
workers,0.8566425,0.14335752,6841,51336
drug,0.8570327,0.14296728,3577,41764
death,0.8586441,0.14135587,8204,113038
abortion,0.8586855,0.1413145,9083,104247
ballots,0.85876226,0.14123774,2710,54898
reelection,0.85888815,0.14111185,1980,10635
governor,0.85895175,0.14104825,4823,34543
candidates,0.859389,0.140611,12801,48001
land,0.85957885,0.14042115,3797,41625
bush,0.8598434,0.14015663,8353,49338
lives,0.8598573,0.14014268,9422,108253
wage,0.8598627,0.14013731,8359,47770
citizen,0.86074305,0.13925695,3146,32502
ballot,0.8612555,0.13874447,5214,37468
threat,0.8613852,0.13861477,4648,46530
countries,0.86174977,0.13825023,7997,109471
wealth,0.86177284,0.13822716,4695,35798
voter,0.861908,0.13809198,13109,65632
labor,0.8620434,0.13795662,4347,34965
public,0.8621168,0.13788319,19730,176290
education,0.8621447,0.13785529,8690,78179
hospital,0.8628114,0.13718861,1590,26534
economic,0.8629686,0.13703138,8663,60645
shooting,0.86316884,0.13683116,3884,37640
mental,0.8639173,0.13608271,5266,51595
oath,0.86415756,0.13584244,1511,10064
military,0.86421126,0.13578874,12072,108862
crime,0.86462027,0.13537973,9267,112257
fetus,0.864778,0.13522202,1151,15535
deficit,0.8654769,0.1345231,2227,14149
flag,0.8658998,0.1341002,4155,42380
legislation,0.8659259,0.13407409,6315,28875
property,0.8661176,0.1338824,3642,55012
control,0.86634946,0.13365054,17279,148274
troops,0.8668016,0.13319838,1855,20911
housing,0.8672681,0.13273191,2226,19670
vote,0.8676741,0.13232589,77904,364062
won,0.86890566,0.13109434,12123,67826
firearm,0.868942,0.13105798,1873,14966
poverty,0.86954415,0.13045585,3490,26488
constitution,0.8696419,0.1303581,8637,87891
weapons,0.87017274,0.12982726,5316,35393
economy,0.87049294,0.12950706,11390,96781
budget,0.8705815,0.12941849,3729,32724
voting,0.87087476,0.12912524,28355,152004
civil,0.871418,0.128582,8952,67939
court,0.87155455,0.12844545,16267,132136
deaths,0.8717092,0.12829077,3929,64432
impeachment,0.87286407,0.12713593,5008,29681
investigation,0.87286997,0.12713003,5187,45814
money,0.8732117,0.12678832,38187,336076
news,0.8737067,0.1262933,26478,221766
unemployment,0.8739326,0.1260674,3072,25387
police,0.87542856,0.12457144,11497,205679
middle,0.8756025,0.124397516,9564,80660
amendment,0.8762757,0.12372428,7915,69958
prison,0.87646234,0.12353766,5035,34450
electoral,0.87656987,0.12343013,6156,23365
senate,0.87767506,0.12232494,20319,83747
election,0.8778882,0.1221118,42804,272583
intelligence,0.878353,0.121647,3357,25897
war,0.8783813,0.12161869,19118,161630
rich,0.8787273,0.12127268,10913,66428
insurance,0.8792408,0.12075919,9025,55400
abortions,0.8803267,0.11967331,2304,33394
health,0.8819148,0.118085206,14130,100343
gun,0.88242614,0.11757386,27016,147379
elections,0.88284445,0.11715555,11705,62826
medical,0.88338625,0.116613746,4887,62822
firearms,0.88410425,0.11589575,2974,16699
jobs,0.8856089,0.11439109,11593,94179
wages,0.88649684,0.11350316,3272,21782
guns,0.88660395,0.11339605,17869,91146
debt,0.88755625,0.112443745,7089,53007
prices,0.88823676,0.11176324,3882,45087
paying,0.8886608,0.11133921,7878,73367
jail,0.8901451,0.10985488,3903,37035
polls,0.8901599,0.109840095,8256,41939
laws,0.8901869,0.109813094,15961,132678
tax,0.9013159,0.09868407,22535,182563
income,0.9032247,0.09677529,7995,62824
taxes,0.90789056,0.09210944,13989,128556
