word,cosine_similarity_R_vs_D,semantic_shift,left_count,right_count
clown,0.7172665,0.2827335,1387,18501
pelosi,0.7173348,0.2826652,3137,33530
totalitarian,0.7174821,0.2825179,390,6407
scalia,0.7178017,0.2821983,481,3026
mayor,0.7184341,0.2815659,1445,18134
killings,0.7185763,0.2814237,311,3564
racially,0.71878743,0.28121257,284,4180
biden,0.719142,0.28085798,32289,369184
usa,0.7200097,0.27999032,3620,37668
affiliation,0.720376,0.279624,1208,7868
bail,0.7209245,0.2790755,611,12093
coronavirus,0.72100663,0.27899337,1456,17810
elites,0.7213406,0.2786594,524,11709
homosexuality,0.72220206,0.27779794,438,7128
christie,0.72250116,0.27749884,507,5024
disingenuous,0.7231262,0.27687383,1163,11084
narratives,0.7233861,0.2766139,410,5611
supremacists,0.7240182,0.27598178,1113,13852
gore,0.7241577,0.2758423,1238,5436
satire,0.7242546,0.2757454,785,21825
latino,0.7243662,0.2756338,804,5531
schumer,0.725051,0.274949,1097,6901
cdc,0.7255851,0.2744149,929,21454
veteran,0.72560143,0.27439857,740,4742
journalist,0.7256783,0.27432168,593,7822
herd,0.7257552,0.2742448,372,6984
homicide,0.72587186,0.27412814,669,5505
dictators,0.7260914,0.27390862,672,4406
israeli,0.7263137,0.2736863,318,4192
federally,0.72642374,0.27357626,521,4288
conservative,0.72645307,0.27354693,21381,321002
unarmed,0.72647536,0.27352464,524,8960
conservatives,0.72648966,0.27351034,15208,227213
idiotic,0.7265895,0.2734105,1057,11368
gaetz,0.7268323,0.27316773,923,3052
judiciary,0.72793865,0.27206135,673,3932
dementia,0.7280669,0.27193308,303,10718
fascist,0.7282995,0.2717005,4702,24021
charity,0.728307,0.271693,981,13120
bigotry,0.7292959,0.2707041,1598,6772
nyc,0.7293782,0.27062178,1132,20997
bidens,0.73027134,0.26972866,3821,45446
handouts,0.73036444,0.26963556,324,6082
extremists,0.7304346,0.2695654,1398,10620
activist,0.73121834,0.26878166,712,9002
crisis,0.7312233,0.2687767,3121,28184
genocide,0.7315014,0.2684986,1289,13369
harris,0.73266804,0.26733196,2739,26347
