word,trend,h,p,z,slope,n_obs
secular,increasing,True,0.0012821837418053,3.219937887599697,0.0307470560073852,10
controversial,increasing,True,0.0018457213176963,3.113995776646092,0.0193274617195129,11
ideological,increasing,True,0.0023575275957954,3.041052449399714,0.017990333693368,10
rifle,increasing,True,0.0030934493227612,2.9582959878137878,0.0169065594673157,11
invasion,increasing,True,0.0030934493227612,2.9582959878137878,0.027116984128952,11
abiding,increasing,True,0.0042075512854917,2.862167011199731,0.031302511692047,10
arabia,increasing,True,0.0048785644750335,2.814944589770509,0.0282320857048034,9
regarding,increasing,True,0.0050693095567015,2.8025961989814827,0.0251273661851882,11
supporter,increasing,True,0.0050693095567015,2.8025961989814827,0.0171584401811872,11
bigot,increasing,True,0.0050693095567015,2.8025961989814827,0.02427339553833,11
aisle,increasing,True,0.0050693095567015,2.8025961989814827,0.0147036761045456,11
labeled,increasing,True,0.0050693095567015,2.8025961989814827,0.0331958276884896,11
insurance,increasing,True,0.0081234233042735,2.646896410149178,0.0099959870179494,11
religion,increasing,True,0.0081234233042735,2.646896410149178,0.0093384534120559,11
paul,increasing,True,0.0081234233042735,2.646896410149178,0.0176195833418104,11
attacking,increasing,True,0.0081234233042735,2.646896410149178,0.0117934346199035,11
victims,increasing,True,0.0081234233042735,2.646896410149178,0.0163947939872741,11
oppose,increasing,True,0.0081234233042735,2.646896410149178,0.0111074248949686,11
firearm,increasing,True,0.0081234233042735,2.646896410149178,0.0139982899030049,11
soldiers,increasing,True,0.0081234233042735,2.646896410149178,0.0136407273156302,11
genocide,increasing,True,0.0081234233042735,2.646896410149178,0.0137707988421122,11
economically,increasing,True,0.0081234233042735,2.646896410149178,0.0186802744865417,11
npr,increasing,True,0.0081234233042735,2.646896410149178,0.0219548344612121,11
disproportionately,increasing,True,0.0091491475795937,2.606430175713435,0.0169753566384315,9
debunked,increasing,True,0.0091491475795937,2.606430175713435,0.0117807537317275,9
gore,increasing,True,0.0122660613862128,2.5043961347997645,0.0160897771517435,10
killing,increasing,True,0.0127313642699236,2.491196621316873,0.0101043283939361,11
racists,increasing,True,0.0127313642699236,2.491196621316873,0.0142157971858978,11
economics,increasing,True,0.0127313642699236,2.491196621316873,0.010857343673706,11
shootings,increasing,True,0.0127313642699236,2.491196621316873,0.0136569738388061,11
borders,increasing,True,0.0127313642699236,2.491196621316873,0.0090435147285461,11
nancy,increasing,True,0.01648865672767,2.39791576165636,0.0113598778843879,9
declaration,increasing,True,0.01648865672767,2.39791576165636,0.023094642162323,9
conservatives,increasing,True,0.0195174811821776,2.335496832484569,0.0125103116035461,11
ban,increasing,True,0.0195174811821776,2.335496832484569,0.0078264102339744,11
sides,increasing,True,0.0195174811821776,2.335496832484569,0.009386134147644,11
fascist,increasing,True,0.0195174811821776,2.335496832484569,0.0109416047732035,11
poverty,increasing,True,0.0195174811821776,2.335496832484569,0.0116797089576721,11
criminals,increasing,True,0.0195174811821776,2.335496832484569,0.0128304362297058,11
leaning,increasing,True,0.0195174811821776,2.335496832484569,0.0138801932334899,11
recession,increasing,True,0.0195174811821776,2.335496832484569,0.0140762229760487,11
ideals,increasing,True,0.0195174811821776,2.335496832484569,0.0109339237213134,11
fetus,increasing,True,0.0195174811821776,2.335496832484569,0.0107310116291046,11
taxpayers,increasing,True,0.0195174811821776,2.335496832484569,0.006403020450047,11
violate,increasing,True,0.0195174811821776,2.335496832484569,0.015177845954895,11
eastern,increasing,True,0.0195174811821776,2.335496832484569,0.0125465542078018,11
communists,increasing,True,0.0195174811821776,2.335496832484569,0.0147693157196044,11
blacks,increasing,True,0.0200446686226274,2.3255106965997814,0.0125409364700317,10
outlets,increasing,True,0.0200446686226274,2.3255106965997814,0.0095982381275722,10
hypocrite,increasing,True,0.0200446686226274,2.3255106965997814,0.0236988812685012,10
bombing,increasing,True,0.0200446686226274,2.3255106965997814,0.0233440895875295,10
bail,increasing,True,0.0200446686226274,2.3255106965997814,0.0253399461507797,10
mongering,increasing,True,0.0200446686226274,2.3255106965997814,0.0286113172769546,10
ethnic,increasing,True,0.0200446686226274,2.3255106965997814,0.0115692019462584,10
jefferson,increasing,True,0.0200446686226274,2.3255106965997814,0.0219190597534179,10
islamic,increasing,True,0.028567681801513,2.189401347599285,0.0337277799844741,9
homicide,increasing,True,0.028567681801513,2.189401347599285,0.0246283690134684,9
totalitarian,increasing,True,0.028567681801513,2.189401347599285,0.0151205609242121,9
moderate,increasing,True,0.0292725091863046,2.179797043652264,0.0059161980946858,11
fbi,increasing,True,0.0292725091863046,2.179797043652264,0.0062341690063476,11
ideology,increasing,True,0.0292725091863046,2.179797043652264,0.0119242131710052,11
clintons,increasing,True,0.0292725091863046,2.179797043652264,0.0117930968602498,11
nra,increasing,True,0.0292725091863046,2.179797043652264,0.0192112071173531,11
legally,increasing,True,0.0292725091863046,2.179797043652264,0.0084840655326843,11
racial,increasing,True,0.0292725091863046,2.179797043652264,0.0049485138484409,11
regulation,increasing,True,0.0292725091863046,2.179797043652264,0.0127128660678863,11
misinformation,increasing,True,0.0292725091863046,2.179797043652264,0.0185526268822806,11
