word,count
lgbt,1709
traitors,1701
billionaires,1681
kavanaugh,1679
conservatism,1662
communist,1659
stimulus,1656
inequality,1652
officer,1644
disease,1629
whites,1621
pardon,1599
bigotry,1598
illegally,1595
hospital,1590
kamala,1569
caucus,1567
conflict,1552
jews,1529
nancy,1515
threatening,1515
oath,1511
vaccines,1508
cop,1502
chinese,1484
msnbc,1480
outrage,1479
mandate,1477
christianity,1461
jury,1460
jewish,1458
coronavirus,1456
soldiers,1452
tucker,1449
guard,1447
mayor,1445
african,1441
electorate,1431
elizabeth,1421
reelected,1414
admin,1413
penalty,1409
taliban,1408
homes,1408
western,1404
libs,1402
extremists,1398
unconstitutional,1393
protections,1393
punishment,1390
clown,1387
unpopular,1386
morally,1384
mob,1382
bloomberg,1381
winner,1380
peaceful,1374
judicial,1360
mccarthy,1349
cabinet,1347
overturn,1340
scientific,1319
leftist,1316
shooter,1306
protesting,1306
islam,1296
slaves,1295
incompetent,1294
genocide,1289
outlets,1274
borders,1270
retirement,1270
regime,1270
unity,1252
hypocritical,1242
sentiment,1241
gore,1238
hispanic,1219
protesters,1217
communism,1215
eligible,1211
affiliation,1208
syria,1204
midterm,1194
division,1192
flags,1181
european,1173
traitor,1171
disingenuous,1163
counties,1154
chaos,1152
speeches,1151
fetus,1151
hospitals,1147
brainwashed,1145
supremacist,1143
combat,1135
nyc,1132
ideological,1131
supremacists,1113
justified,1104
supremacy,1102
patriot,1101
sanctions,1100
ben,1099
confederate,1097
schumer,1097
overthrow,1096
catholic,1095
lawsuit,1090
bankrupt,1085
nc,1063
idiotic,1057
riot,1046
freedoms,1045
diversity,1043
immigrant,1041
populist,1029
interference,1026
pregnancy,1023
prosecuted,1014
immoral,1009
dictatorship,1003
tyranny,996
losers,993
nato,990
blatantly,983
morality,982
charity,981
morals,980
rnc,977
worship,975
refugees,974
allegations,971
woke,968
prolife,965
legislatures,963
cia,959
limbaugh,955
hypocrite,945
gang,941
un,940
bigot,936
vietnam,931
cdc,929
controversial,929
nationalism,928
civilian,923
gaetz,923
wingers,921
hoax,918
administrations,917
riots,910
blamed,907
aisle,890
unite,887
transgender,881
patients,879
rubio,876
taxpayers,876
elite,875
terror,866
hypocrites,864
vile,862
ubi,857
altright,856
economically,855
enact,853
npr,852
council,836
invasion,828
reporter,823
taxpayer,814
pray,811
mexican,805
prochoice,804
latino,804
arabia,796
leftists,794
socialists,793
journalism,791
satire,785
stats,781
incompetence,774
oppression,772
historic,765
islamic,762
cohen,753
immunity,750
veteran,740
abrams,736
activist,712
labeled,693
violate,691
ally,687
bombing,686
activists,685
heritage,680
flu,678
taxing,677
judiciary,673
dictators,672
colleges,671
homicide,669
eastern,666
authoritarianism,665
mexicans,663
populations,662
castro,650
mandates,643
inauguration,641
campaigned,640
holocaust,637
giuliani,633
boycott,624
doctrine,624
oppressed,621
trafficking,613
latinos,612
illegals,611
bail,611
mongering,598
msm,596
protestors,596
journalist,593
patriots,590
communists,586
breitbart,584
feds,580
ethnic,577
cuomo,576
patriotic,571
disproportionately,564
censorship,559
sheep,558
vaccination,557
outraged,557
fauci,551
manafort,549
unbiased,547
abiding,538
shapiro,535
audit,534
elites,524
unarmed,524
federally,521
infected,517
declaration,516
