word,count
shootings,17127
floyd,17115
nominee,17079
mcconnell,17011
senators,16975
supremacy,16908
detected,16891
firearms,16699
african,16600
cuomo,16493
msnbc,16463
rioting,16417
criticism,16342
shapiro,16291
enemies,16266
jury,16118
soldiers,16023
justified,16001
outlets,15986
progressives,15978
hatred,15960
marxist,15954
duty,15942
allies,15876
disaster,15705
fetus,15535
socialists,15521
chief,15351
lawyers,15344
protestors,15185
pregnancy,15161
nato,15145
guard,15114
christianity,15099
oppose,15079
communists,15079
taliban,15025
stimulus,15023
firearm,14966
lefts,14793
primaries,14769
nancy,14755
counties,14750
ideals,14686
punishment,14646
looting,14566
supremacist,14559
mueller,14509
hypocritical,14493
kavanaugh,14397
representatives,14313
ccp,14268
un,14250
morally,14175
governors,14171
lefties,14154
deficit,14149
infected,14130
threatening,14043
islamic,14038
morality,14001
congressional,13853
supremacists,13852
hoax,13738
freedoms,13723
americas,13570
genocide,13369
insurrection,13361
liberalism,13354
transgender,13349
nfl,13239
impeached,13231
tucker,13129
charity,13120
hispanic,13033
brainwashed,12915
medicare,12865
allegations,12757
mitch,12747
elite,12644
regime,12599
impeach,12518
libertarians,12479
admin,12461
gang,12429
lawsuit,12333
penalty,12224
classified,12168
tyranny,12142
bail,12093
immigrant,12035
incompetent,11998
shooter,11989
taxpayer,11984
audit,11983
attorney,11945
clintons,11888
controversial,11884
sentiment,11876
midterms,11867
elites,11709
justices,11694
taxpayers,11691
judicial,11637
division,11617
feds,11606
combat,11577
lgbt,11531
lefty,11466
flags,11421
blatantly,11419
unvaccinated,11378
idiotic,11368
rifle,11360
warren,11334
vaccination,11298
legislature,11236
treason,11230
disingenuous,11084
oppression,11006
refugees,10995
journalism,10964
invasion,10957
nursing,10924
turnout,10816
colleges,10788
stats,10732
losers,10730
dementia,10718
prolife,10678
reelection,10635
dictator,10633
recession,10632
extremists,10620
unity,10616
morals,10528
cia,10364
syria,10332
sheep,10324
taiwan,10305
oppressed,10286
fascists,10210
labeled,10204
rightwing,10111
oath,10064
mexican,9981
payer,9922
patriot,9723
protections,9697
unpopular,9693
winner,9629
sanctions,9543
interference,9514
eastern,9512
reporter,9476
hypocrite,9437
aca,9433
marxism,9416
pray,9413
ideological,9382
activists,9350
blamed,9287
retirement,9279
followers,9271
unbiased,9253
chaos,9245
terror,9191
bigot,9115
amnesty,9106
worship,9043
activist,9002
unarmed,8960
confederate,8827
immoral,8780
delegates,8715
rittenhouse,8678
hypocrites,8485
campaigns,8485
billionaires,8451
neighborhoods,8407
violate,8382
aisle,8356
prosecuted,8250
economically,8215
reelected,8208
asians,8196
celebrities,8119
inequality,8086
reparations,8014
pedophile,7982
boycott,7958
bankrupt,7870
affiliation,7868
journalist,7822
npr,7776
council,7756
vietnam,7682
civilian,7598
filibuster,7520
equity,7519
populations,7436
ethnic,7433
holocaust,7424
outraged,7398
traitor,7253
nixon,7224
ally,7218
mandated,7189
homosexuality,7128
eligible,7097
invade,7089
speeches,7053
pope,7041
herd,6984
brigade,6937
schumer,6901
segregation,6900
bigotry,6772
cabinet,6753
coup,6731
nationalism,6721
overturn,6714
nc,6705
rogan,6674
stalin,6662
nbc,6660
dominion,6616
marxists,6614
administrations,6611
pardon,6575
pedo,6571
debunked,6560
incompetence,6471
assaulted,6469
corona,6436
prochoice,6412
totalitarian,6407
ussr,6390
senile,6386
donors,6365
pfizer,6336
pedophiles,6313
rnc,6310
heritage,6253
nra,6223
doctrine,6174
breitbart,6145
vile,6118
traitors,6110
handouts,6082
hillarys,6056
trafficking,6007
dictatorship,5976
taxing,5892
abiding,5886
mccarthy,5878
ubi,5859
arabia,5812
dossier,5756
catholics,5755
leftism,5735
mongering,5716
overthrow,5712
jefferson,5636
pedophilia,5621
unite,5617
sanctuary,5613
narratives,5611
enact,5598
latino,5531
homicide,5505
populist,5484
patriots,5475
globalist,5457
bombing,5452
gore,5436
bloomberg,5399
altright,5355
declaration,5345
schiff,5316
gaslighting,5292
disproportionately,5257
authoritarianism,5235
hysteria,5224
electorate,5205
socialized,5175
radicals,5147
secular,5145
patriotic,5054
fisa,5024
christie,5024
epstein,4987
antisemitic,4925
mayors,4919
sjws,4903
gangs,4879
arrests,4872
hamas,4829
looters,4800
felons,4798
mexicans,4793
reid,4754
veteran,4742
sharia,4724
daca,4696
historic,4672
legislatures,4671
inauguration,4670
romneys,4422
audits,4407
dictators,4406
deport,4351
federally,4288
cuban,4244
israeli,4192
antiamerican,4189
racially,4180
redistribution,4156
vaccinations,4140
giuliani,4124
dysphoria,4078
fentanyl,4074
constitutionally,4065
mobs,4018
lunatics,3994
midterm,3971
judiciary,3932
omicron,3912
wingers,3888
caucus,3854
latinos,3847
neocons,3805
sowell,3764
manafort,3690
abrams,3672
icu,3659
gerrymandering,3651
elizabeth,3601
afghan,3577
killings,3564
felon,3546
maxine,3542
powell,3507
farleft,3499
castro,3458
principled,3420
ambassador,3332
veritas,3317
campaigned,3245
gaetz,3052
limbaugh,3042
scalia,3026
ilhan,2932
cohen,2920
overturning,2654
