vector_size,window,sample,negative,min_count,simlex_score,train_time_min
300,2,"   → SimLex Spearman: 0.4206, time: 22.06 min",20,100,0.42062836794196773,22.06
300,3,"   → SimLex Spearman: 0.4049, time: 29.66 min",20,100,0.404887105292345,29.66
